keV	QE (%)
87.5	0.000178236
87.6	0.0001756
87.7	0.000173004
87.8	0.000170446
87.9	0.000167926
88	0.000165443
88.1	0.000162997
88.2	0.000160587
88.3	0.000158212
88.4	0.000155873
88.5	0.000153568
88.6	0.000151298
88.7	0.000149061
88.8	0.000146857
88.9	0.000144685
89	0.000142546
89.1	0.000140438
89.2	0.000138362
89.3	0.000136316
89.4	0.000134301
89.5	0.000132315
89.6	0.000130358
89.7	0.000128431
89.8	0.000126532
89.9	0.000124661
90	0.000122818
90.1	0.000121002
90.2	0.000119213
90.3	0.00011745
90.4	0.000115714
90.5	0.000114003
90.6	0.000112317
90.7	0.000110656
90.8	0.00010902
90.9	0.000107408
91	0.00010582
91.1	0.000104256
91.2	0.000102714
91.3	0.000101195
91.4	9.96992E-05
91.5	9.8225E-05
91.6	9.67727E-05
91.7	9.53418E-05
91.8	9.39321E-05
91.9	9.25433E-05
92	9.1175E-05
92.1	8.98269E-05
92.2	8.84987E-05
92.3	8.71902E-05
92.4	8.5901E-05
92.5	8.46309E-05
92.6	8.33796E-05
92.7	8.21467E-05
92.8	8.09321E-05
92.9	7.97355E-05
93	7.85565E-05
93.1	7.7395E-05
93.2	7.62507E-05
93.3	7.51233E-05
93.4	7.40125E-05
93.5	7.29182E-05
93.6	7.184E-05
93.7	7.07778E-05
93.8	6.97313E-05
93.9	6.87003E-05
94	6.76845E-05
94.1	6.66837E-05
94.2	6.56978E-05
94.3	6.47264E-05
94.4	6.37693E-05
94.5	6.28265E-05
94.6	6.18975E-05
94.7	6.09823E-05
94.8	6.00807E-05
94.9	5.91923E-05
95	5.83171E-05
95.1	5.74548E-05
95.2	5.66053E-05
95.3	5.57684E-05
95.4	5.49438E-05
95.5	5.41314E-05
95.6	5.3331E-05
95.7	5.25425E-05
95.8	5.17656E-05
95.9	5.10002E-05
96	5.02462E-05
96.1	4.95032E-05
96.2	4.87713E-05
96.3	4.80502E-05
96.4	4.73397E-05
96.5	4.66397E-05
96.6	4.59501E-05
96.7	4.52707E-05
96.8	4.46014E-05
96.9	4.39419E-05
97	4.32922E-05
97.1	4.26521E-05
97.2	4.20214E-05
97.3	4.14001E-05
97.4	4.0788E-05
97.5	4.01849E-05
97.6	3.95907E-05
97.7	3.90054E-05
97.8	3.84286E-05
97.9	3.78604E-05
98	3.73006E-05
98.1	3.67491E-05
98.2	3.62058E-05
98.3	3.56704E-05
98.4	3.5143E-05
98.5	3.46234E-05
98.6	3.41115E-05
98.7	3.36071E-05
98.8	3.31102E-05
98.9	3.26206E-05
99	3.21383E-05
99.1	3.16631E-05
99.2	3.1195E-05
99.3	3.07337E-05
99.4	3.02793E-05
99.5	2.98316E-05
99.6	2.93905E-05
99.7	2.8956E-05
99.8	2.85278E-05
99.9	2.8106E-05
100	2.76904E-05
