Wavelength,Correction Factor
2.173699017527995352e+02,8.659832623800885415e-04
2.174349981372128582e+02,8.649376849041609224e-04
2.175000944458271306e+02,8.594141919124729688e-04
2.175651906774157283e+02,8.580721549793141924e-04
2.176302868307515723e+02,8.546973199444663936e-04
2.176953829046072428e+02,8.503239324485043112e-04
2.177604788977547514e+02,8.508807093987830281e-04
2.178255748089657118e+02,8.486865484299574523e-04
2.178906706370112545e+02,8.476827228590885516e-04
2.179557663806622259e+02,8.450333170838490032e-04
2.180208620386887617e+02,8.403192857750262177e-04
2.180859576098607420e+02,8.394127337995694943e-04
2.181510530929475919e+02,8.331946358036416067e-04
2.182161484867181684e+02,8.339047528452198706e-04
2.182812437899411009e+02,8.304949622425979736e-04
2.183463390013843366e+02,8.304236891841558716e-04
2.184114341198155387e+02,8.263747965198181469e-04
2.184765291440018302e+02,8.245167641336515005e-04
2.185416240727098796e+02,8.190441049069795880e-04
2.186067189047060992e+02,8.219935227009464657e-04
2.186718136387562197e+02,8.178537283686578181e-04
2.187369082736256587e+02,8.167044085953546187e-04
2.188020028080792940e+02,8.106586077477827799e-04
2.188670972408816908e+02,8.128626405248867356e-04
2.189321915707968458e+02,8.036528224637084356e-04
2.189972857965883577e+02,8.071980470105322592e-04
2.190623799170194843e+02,8.054397079743255651e-04
2.191274739308528012e+02,8.005080029349650019e-04
2.191925678368506283e+02,7.977139276174340619e-04
2.192576616337748590e+02,7.974830939956017561e-04
2.193227553203867330e+02,7.897008906721074157e-04
2.193878488954473198e+02,7.904154928620552457e-04
2.194529423577169780e+02,7.837635644015252282e-04
2.195180357059558389e+02,7.892731963577280952e-04
2.195831289389234939e+02,7.854901428828693979e-04
2.196482220553790228e+02,7.879109384589281454e-04
2.197133150540812494e+02,7.794533647132524841e-04
2.197784079337883156e+02,7.802987651548522544e-04
2.198435006932581075e+02,7.772763200788207916e-04
2.199085933312480279e+02,7.781117263698662237e-04
2.199736858465149112e+02,7.713395354234924440e-04
2.200387782378152508e+02,7.729048574544206563e-04
2.201038705039051422e+02,7.673693079659572652e-04
2.201689626435401692e+02,7.714735934421674277e-04
2.202340546554754894e+02,7.647822349967750609e-04
2.202991465384657488e+02,7.678290678167794649e-04
2.203642382912652522e+02,7.605395629412544474e-04
2.204293299126277645e+02,7.577954070426367022e-04
2.204944214013066812e+02,7.602044689604437215e-04
2.205595127560549429e+02,7.558705726754763338e-04
2.206246039756250070e+02,7.571390709750104716e-04
2.206896950587688480e+02,7.568040061647125392e-04
2.207547860042381842e+02,7.541114621290310235e-04
2.208198768107840522e+02,7.508142161842274592e-04
2.208849674771571756e+02,7.508684782635173527e-04
2.209500580021077951e+02,7.480405817969539841e-04
2.210151483843857250e+02,7.437938511237869805e-04
2.210802386227403531e+02,7.449818234431063732e-04
2.211453287159205843e+02,7.412771329918363319e-04
2.212104186626748685e+02,7.435965077610462220e-04
